id,reference_path,search_path,style,has_landmark,scale_factor,rotation_deg,noise_level,seed,true_x,true_y,pred_x,pred_y,error_px,error_px_spec_fair,confidence,cnn_used,tie_break_method,num_candidate_peaks,time_ms
test_00000,../data/test/references/test_00000.png,../data/test/searches/test_00000.png,dram,True,8.9419,-0.796,1.041,1931604484,340.932,379.322,340.98,379.315,0.049,0.049,1.0,True,cnn_landmark,1,910.7
test_00001,../data/test/references/test_00001.png,../data/test/searches/test_00001.png,dram_arcuate,True,8.8887,-1.908,1.172,1927147641,522.871,184.995,522.858,184.981,0.0198,0.0198,1.0,True,cnn_landmark,1,858.0
test_00002,../data/test/references/test_00002.png,../data/test/searches/test_00002.png,finfet,True,8.7432,-2.055,2.277,1577906230,311.624,439.456,311.626,439.393,0.0628,0.0628,0.8583,True,cnn_landmark,300,1367.9
test_00003,../data/test/references/test_00003.png,../data/test/searches/test_00003.png,dram,False,8.8069,2.008,2.079,1738150315,559.145,443.299,494.521,496.424,83.6572,7.7238,0.0173,False,lattice_enumeration,300,1716.0
test_00004,../data/test/references/test_00004.png,../data/test/searches/test_00004.png,dram_arcuate,True,9.9061,-4.992,2.24,1219462680,497.23,431.164,497.272,431.148,0.0453,0.0453,1.0,True,cnn_landmark,1,821.0
test_00005,../data/test/references/test_00005.png,../data/test/searches/test_00005.png,finfet,True,11.136,-0.694,2.353,568037763,430.951,462.924,430.966,462.763,0.1614,0.1614,0.9957,True,cnn_landmark,2,864.0
test_00006,../data/test/references/test_00006.png,../data/test/searches/test_00006.png,dram,False,10.6509,-5.815,0.855,82914036,623.344,609.863,497.482,498.513,168.0481,42.4562,0.0458,False,lattice_enumeration,300,1908.1
test_00007,../data/test/references/test_00007.png,../data/test/searches/test_00007.png,dram_arcuate,True,10.5466,1.128,0.924,1854036475,653.732,472.917,653.718,472.917,0.0135,0.0135,1.0,True,cnn_landmark,1,789.4
test_00008,../data/test/references/test_00008.png,../data/test/searches/test_00008.png,finfet,True,8.7355,3.141,0.913,1867135591,481.423,506.775,481.428,506.761,0.0144,0.0144,0.9995,True,cnn_landmark,1,785.1
test_00009,../data/test/references/test_00009.png,../data/test/searches/test_00009.png,dram,True,9.2622,-0.885,1.337,1953801891,384.16,476.506,384.164,476.518,0.0129,0.0129,1.0,True,cnn_landmark,1,851.1
test_00010,../data/test/references/test_00010.png,../data/test/searches/test_00010.png,dram_arcuate,True,8.8541,-5.905,0.574,1937916218,561.879,442.382,561.87,442.365,0.019,0.019,1.0,True,cnn_landmark,1,784.0
test_00011,../data/test/references/test_00011.png,../data/test/searches/test_00011.png,finfet,False,10.9921,1.713,2.02,1821439943,501.565,508.275,499.413,508.37,2.1537,2.1537,0.0188,False,lattice_enumeration,300,1767.0
test_00012,../data/test/references/test_00012.png,../data/test/searches/test_00012.png,dram,False,11.483,1.397,1.804,1656589561,632.857,514.622,499.505,502.72,133.8816,59.1422,0.0162,False,lattice_enumeration,300,1550.6
